core,CPD_A,SMILES_A,R_A,pKi_A,LogD_A,Sol_A_uM,CPD_B,SMILES_B,R_B,pKi_B,LogD_B,Sol_B_uM,delta_pKi,delta_LogD,delta_LogSol,abs_delta_pKi,physchem_shift,potency_specificity
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_38,CC(C)N1CCC(NC(=O)c2cc3cc(Br)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,Br[*:1],8.06,2.851,68.0,CPD_361,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCC4COC(=O)O4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C1OCC(COC(=O)[*:1])O1,7.86,1.042,660.0,-0.2,-1.81,0.99,0.2,2.0630559856678636,0.08646569786431378
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_148,CC(C)N1CCC(NC(=O)c2cc3cc(C(N)=O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,NC(=O)[*:1],8.44,0.497,390.0,CPD_404,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCCO)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(OCCO)[*:1],8.24,0.885,1400.0,-0.2,0.39,0.56,0.2,0.6824221567329127,0.21449511742704
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_38,CC(C)N1CCC(NC(=O)c2cc3cc(Br)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,Br[*:1],8.06,2.851,68.0,CPD_877,CC(C)N1CCC(NC(=O)c2cc3cc(OC(C)(C)C(=O)O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CC(C)(O[*:1])C(=O)O,7.85,1.472,1.6,-0.2,-1.38,-1.63,0.2,2.1357200191036276,0.08383213386252458
COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3c([*:1])cccc32)c1,CPD_542,COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3c(C(=O)OCCO)cccc32)c1,O=C(OCCO)[*:1],7.19,0.143,53000.0,CPD_915,COCCCOc1cccc2c1cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cccc(OC)c1,COCCCO[*:1],6.99,1.192,13000.0,-0.2,1.05,-0.61,0.2,1.2143310915891103,0.13658113328930108
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_370,COCCOC(=O)OC(C)OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,COCCOC(=O)OC(C)OC(=O)[*:1],8.05,1.425,5200.0,CPD_541,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N4CCOCC4)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=C(N1CCOCC1)[*:1],7.84,-1.329,79000.0,-0.21,-2.75,1.18,0.21,2.9924738929521175,0.0647653634024498
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_359,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCC(=O)O)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=C(O)COC(=O)[*:1],8.35,0.3,9.7,CPD_781,CC(C)N1CCC(NC(=O)c2cc3cc(OCCO)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,OCCO[*:1],8.14,-0.041,55000.0,-0.21,-0.34,3.75,0.21,3.7653817867515107,0.05229888741660413
CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)N[*:1])CC1,CPD_856,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(I)cc2)CC1,Ic1ccc([*:1])cc1,7.64,2.023,2600.0,CPD_861,C#Cc1ccc(NC(=O)Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3ccccc32)cc1,C#Cc1ccc([*:1])cc1,7.42,0.573,1600.0,-0.21,-1.45,-0.21,0.21,1.465127980757995,0.12243984259832971
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_158,CC(C)N1CCC(NC(=O)c2cc3cc(-c4noc(O)n4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,Oc1nc([*:1])no1,8.24,0.316,300.0,CPD_363,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCCN4CCCC4=O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C1CCCN1CCOC(=O)[*:1],8.03,1.653,110.0,-0.21,1.34,-0.44,0.21,1.4103900169811188,0.1264763084891446
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_85,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(O)[*:1],8.07,1.328,5.5,CPD_877,CC(C)N1CCC(NC(=O)c2cc3cc(OC(C)(C)C(=O)O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CC(C)(O[*:1])C(=O)O,7.85,1.472,1.6,-0.21,0.14,-0.54,0.21,0.5578530272392541,0.2599482739052809
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_85,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(O)[*:1],8.07,1.328,5.5,CPD_361,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCC4COC(=O)O4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C1OCC(COC(=O)[*:1])O1,7.86,1.042,660.0,-0.21,-0.29,2.08,0.21,2.1001190442448734,0.08935717555000537
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_117,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCOC(=O)C(C)(C)C)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CC(C)(C)C(=O)OCOC(=O)[*:1],7.45,3.152,47.0,CPD_344,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N4CC(O)C4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(N1CC(O)C1)[*:1],7.23,-1.036,6400.0,-0.22,-4.19,2.13,0.22,4.700319138101157,0.04444157919167765
Clc1ccc(-c2cc(Cn3c([*:1])cc4ccccc43)no2)s1,CPD_18,COC(=O)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,COC(=O)N1CCC(NC(=O)[*:1])CC1,5.75,3.257,1.6,CPD_43,O=C(c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1)N1CCC(Oc2ccncc2)CC1,O=C(N1CCC(Oc2ccncc2)CC1)[*:1],5.53,3.739,1.1,-0.22,0.48,-0.16,0.22,0.5059644256269407,0.29101898520892483
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_23,CS(=O)(=O)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CS(=O)(=O)N1CCC([*:1])CC1,6.87,3.257,1.1,CPD_73,CCC(CC)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CCC(CC)N1CCC([*:1])CC1,6.66,3.315,49.0,-0.22,0.06,1.65,0.22,1.6510905486980414,0.11572305177713214
CC(C)N1CCC(NC(=O)c2nc3c(C(=O)O[*:1])cccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_307,COC(=O)c1cccc2c1nc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,C[*:1],7.93,2.316,160.0,CPD_350,CC(OC(=O)OC1CCCCC1)OC(=O)c1cccc2c1nc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,CC(OC(=O)OC1CCCCC1)[*:1],7.7,4.799,4.2,-0.22,2.48,-1.58,0.22,2.9405441673268573,0.06895375473968857
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_338,CC(C)N1CCC(NC(=O)c2cc3cc(NS(C)(=O)=O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CS(=O)(=O)N[*:1],8.46,0.697,170.0,CPD_404,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCCO)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(OCCO)[*:1],8.24,0.885,1400.0,-0.22,0.19,0.92,0.22,0.9394147114027969,0.18496492257148206
CC(C)N1CCC(NC(=O)c2nc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_319,COC(=O)c1ccc2c(c1)nc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,COC(=O)[*:1],7.72,2.303,160.0,CPD_381,CC(C)N1CCC(NC(=O)c2nc3cc(C(=O)N4CC(O)C4)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=C(N1CC(O)C1)[*:1],7.5,-0.694,3300.0,-0.22,-3.0,1.31,0.22,3.2735454785293574,0.0624371109555886
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_37,CC(C)N1CCC(NC(=O)c2cc3cc(C#N)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,N#C[*:1],8.7,1.433,130.0,CPD_262,CC(C)N1CCC(NC(=O)c2cc3cc(-c4n[nH]c(=O)o4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=c1[nH]nc([*:1])o1,8.48,0.297,310.0,-0.22,-1.14,0.38,0.22,1.2016655108639842,0.15155006325738438
CC(C)N1CCC(NC(=O)c2nc3c([*:1])cccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_307,COC(=O)c1cccc2c1nc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,COC(=O)[*:1],7.93,2.316,160.0,CPD_609,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)N4CCOCC4)cccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=C(N1CCOCC1)[*:1],7.71,-0.016,1600.0,-0.22,-2.33,1.0,0.22,2.535527558517162,0.07897965300228946
CC(C)N1CCC(NC(=O)c2nc3c([*:1])nccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_834,CC(C)N1CCC(NC(=O)c2nc3c(OCCO)nccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,OCCO[*:1],7.57,0.542,2600.0,CPD_835,CC(C)N1CCC(NC(=O)c2nc3c(O)nccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O[*:1],7.36,0.654,1100.0,-0.22,0.11,-0.37,0.22,0.38600518131237566,0.3459091316615334
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_408,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N4CC(O)C4)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=C(N1CC(O)C1)[*:1],8.06,-2.004,210000.0,CPD_541,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N4CCOCC4)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=C(N1CCOCC1)[*:1],7.84,-1.329,79000.0,-0.22,0.68,-0.42,0.22,0.7992496481075234,0.20967364668342037
CC(C)N1CCC(NC(=O)c2nc3c(C(=O)O)cccc3n2[*:1])CC1,CPD_467,COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)nc3c(C(=O)O)cccc32)c1,COc1cccc(C[*:1])c1,6.25,1.47,4.5,CPD_650,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)O)cccc3n2Cc2cc3cc(Cl)ccc3s2)CC1,Clc1ccc2sc(C[*:1])cc2c1,6.04,4.311,0.2,-0.22,2.84,-1.35,0.22,3.1445349417680193,0.06481005609723214
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cc2)CC1,CPD_111,CC(C)N1CCC(NC(=O)c2cc3cc([N+](=O)[O-])ccc3n2CC(=O)Nc2ccc(Cl)cc2)CC1,O=[N+]([O-])[*:1],8.32,1.144,1000.0,CPD_173,CC(C)OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cc1,CC(C)OC(=O)[*:1],8.1,2.236,630.0,-0.22,1.09,-0.2,0.22,1.1081967334368028,0.16197947954366557
CC(C)N1CCC(NC(=O)c2nc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_900,CC(C)N1CCC(NC(=O)c2nc3cc(O)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O[*:1],8.14,1.553,42.0,CPD_926,COCCOc1ccc2c(c1)nc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,COCCO[*:1],7.93,1.91,390.0,-0.22,0.36,0.97,0.22,1.0346496991735898,0.17125291053391842
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_170,CC(C)N1CCC(NC(=O)c2cc3cc(S(C)(=O)=O)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CS(=O)(=O)[*:1],7.72,-0.686,15000.0,CPD_345,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N(C)CCO)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CN(CCO)C(=O)[*:1],7.5,-1.408,1040000.0,-0.22,-0.72,1.84,0.22,1.975854245636555,0.0988384573838454
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_23,CS(=O)(=O)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CS(=O)(=O)N1CCC([*:1])CC1,6.87,3.257,1.1,CPD_177,CC(C)N1CC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,CC(C)N1CC([*:1])C1,6.65,2.16,190.0,-0.23,-1.1,2.24,0.23,2.4955159787106154,0.08377295990388502
CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)O[*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_194,Cc1oc(=O)oc1COC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,Cc1oc(=O)oc1C[*:1],7.96,3.174,10.0,CPD_371,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCC4CCOC4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,C1CC(C[*:1])CO1,7.73,1.959,78.0,-0.23,-1.21,0.89,0.23,1.5020652449211385,0.13127365014900028
CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)O[*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_171,CCOC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,CC[*:1],7.96,2.492,130.0,CPD_371,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCC4CCOC4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,C1CC(C[*:1])CO1,7.73,1.959,78.0,-0.23,-0.53,-0.22,0.23,0.5738466694161429,0.27917816328977835
CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)O[*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_171,CCOC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,CC[*:1],7.96,2.492,130.0,CPD_362,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OC4CCOC4=O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C1OCCC1[*:1],7.73,0.55,170.0,-0.23,-1.94,0.12,0.23,1.9437077969694931,0.10484532184173959
O=C(Cn1c([*:1])nc2ccccc21)Nc1ccc(Cl)cn1,CPD_601,O=C(Cn1c(C(=O)Nc2ccc(N3CCNCC3=O)cc2)nc2ccccc21)Nc1ccc(Cl)cn1,O=C1CNCCN1c1ccc(NC(=O)[*:1])cc1,6.3,2.591,8.7,CPD_988,O=C(Cn1c(C(=O)N2CCC(Nc3ccncc3)CC2)nc2ccccc21)Nc1ccc(Cl)cn1,O=C(N1CCC(Nc2ccncc2)CC1)[*:1],6.07,2.834,31.0,-0.23,0.24,0.55,0.23,0.6000833275470999,0.2705617114779334
CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)O[*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_194,Cc1oc(=O)oc1COC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,Cc1oc(=O)oc1C[*:1],7.96,3.174,10.0,CPD_362,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OC4CCOC4=O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C1OCCC1[*:1],7.73,0.55,170.0,-0.23,-2.62,1.23,0.23,2.8943565778942997,0.07314692030063127
CC(C)N1CCC(NC(=O)c2nc3cc(C(=O)N4CC(O)C4)ccc3n2[*:1])CC1,CPD_349,CC(C)N1CCC(NC(=O)c2nc3cc(C(=O)N4CC(O)C4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,Clc1ccc(-c2cc(C[*:1])no2)s1,7.73,0.123,330.0,CPD_381,CC(C)N1CCC(NC(=O)c2nc3cc(C(=O)N4CC(O)C4)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=C(C[*:1])Nc1ccc(Cl)cn1,7.5,-0.694,3300.0,-0.23,-0.82,1.0,0.23,1.2932130528261767,0.1490396932418291
Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,CPD_557,O=C(Nc1ccc(N2CCS(=O)(=O)CC2)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1ccc(N2CCS(=O)(=O)CC2)cc1)[*:1],5.0,3.236,0.4,CPD_986,CNC(=O)CN1CCN(C(=O)c2nc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CNC(=O)CN1CCN(C(=O)[*:1])CC1,4.77,2.886,2.4,-0.23,-0.35,0.78,0.23,0.85492689745966,0.20815856734847668
Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,CPD_421,Cc1ccc(=O)n(-c2ccc(NC(=O)c3nc4ccccc4n3Cc3cc(-c4ccc(Cl)s4)on3)cc2)n1,Cc1ccc(=O)n(-c2ccc(NC(=O)[*:1])cc2)n1,5.0,3.824,0.3,CPD_983,O=C(c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1)N1CCC(Nc2ccncc2)CC1,O=C(N1CCC(Nc2ccncc2)CC1)[*:1],4.77,3.65,2.4,-0.23,-0.17,0.9,0.23,0.9159148432032315,0.19726998188658323
CC(C)N1CCC(NC(=O)c2nc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_381,CC(C)N1CCC(NC(=O)c2nc3cc(C(=O)N4CC(O)C4)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=C(N1CC(O)C1)[*:1],7.5,-0.694,3300.0,CPD_547,CC(C)N1CCC(NC(=O)c2nc3cc(C(=O)N4CCCOCC4)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=C(N1CCCOCC1)[*:1],7.28,0.367,1100.0,-0.23,1.06,-0.48,0.23,1.1636150566231085,0.16270341697507934
CCOC(=O)OC(C)OC(=O)c1cccc2c1nc(C(=O)NC1CCN(C(C)C)CC1)n2[*:1],CPD_316,CCOC(=O)OC(C)OC(=O)c1cccc2c1nc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,Clc1ccc(-c2cc(C[*:1])no2)s1,8.18,4.088,3.5,CPD_401,CCOC(=O)OC(C)OC(=O)c1cccc2c1nc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,O=C(C[*:1])Nc1ccc(Cl)cn1,7.96,3.271,32.0,-0.23,-0.82,0.96,0.23,1.2625371281669304,0.1520623829437767
Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,CPD_421,Cc1ccc(=O)n(-c2ccc(NC(=O)c3nc4ccccc4n3Cc3cc(-c4ccc(Cl)s4)on3)cc2)n1,Cc1ccc(=O)n(-c2ccc(NC(=O)[*:1])cc2)n1,5.0,3.824,0.3,CPD_986,CNC(=O)CN1CCN(C(=O)c2nc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CNC(=O)CN1CCN(C(=O)[*:1])CC1,4.77,2.886,2.4,-0.23,-0.94,0.9,0.23,1.3013838787997951,0.14825473123901228
CC(C)N1CCC(NC(=O)c2nc3c([*:1])cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_305,COC(=O)c1cccc2c1nc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,COC(=O)[*:1],8.42,3.133,16.0,CPD_316,CCOC(=O)OC(C)OC(=O)c1cccc2c1nc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,CCOC(=O)OC(C)OC(=O)[*:1],8.18,4.088,3.5,-0.23,0.96,-0.66,0.23,1.1649892703368558,0.16254540216071436
Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,CPD_458,O=C(Nc1ccc(-n2ncccc2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1ccc(-n2ncccc2=O)cc1)[*:1],5.0,4.288,0.2,CPD_983,O=C(c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1)N1CCC(Nc2ccncc2)CC1,O=C(N1CCC(Nc2ccncc2)CC1)[*:1],4.77,3.65,2.4,-0.23,-0.64,1.08,0.23,1.2553883861180173,0.15278449210911396
Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,CPD_458,O=C(Nc1ccc(-n2ncccc2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1ccc(-n2ncccc2=O)cc1)[*:1],5.0,4.288,0.2,CPD_986,CNC(=O)CN1CCN(C(=O)c2nc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CNC(=O)CN1CCN(C(=O)[*:1])CC1,4.77,2.886,2.4,-0.23,-1.4,1.08,0.23,1.7681628884240275,0.11396503291149396
CC(C)N1CCC(NC(=O)c2nc3c([*:1])cccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_353,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)NCCO)cccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=C(NCCO)[*:1],8.06,0.477,1200.0,CPD_516,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)OCC4CC4)cccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=C(OCC1CC1)[*:1],7.83,3.211,33.0,-0.23,2.73,-1.56,0.23,3.1442805218364343,0.0677610464192162
Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,CPD_557,O=C(Nc1ccc(N2CCS(=O)(=O)CC2)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1ccc(N2CCS(=O)(=O)CC2)cc1)[*:1],5.0,3.236,0.4,CPD_983,O=C(c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1)N1CCC(Nc2ccncc2)CC1,O=C(N1CCC(Nc2ccncc2)CC1)[*:1],4.77,3.65,2.4,-0.23,0.41,0.78,0.23,0.8811923740024081,0.2033252745385909
CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCC[*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_363,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCCN4CCCC4=O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C1CCCN1[*:1],8.03,1.653,110.0,CPD_366,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCCN4CCOCC4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,C1CN([*:1])CCO1,7.79,1.706,740.0,-0.24,0.05,0.83,0.24,0.8315046602394961,0.221913052086944
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_361,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCC4COC(=O)O4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C1OCC(COC(=O)[*:1])O1,7.86,1.042,660.0,CPD_503,CC(C)ONC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,CC(C)ONC(=O)[*:1],7.61,2.516,57.0,-0.24,1.47,-1.06,0.24,1.8123189564753772,0.11637385150654576
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_262,CC(C)N1CCC(NC(=O)c2cc3cc(-c4n[nH]c(=O)o4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=c1[nH]nc([*:1])o1,8.48,0.297,310.0,CPD_404,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCCO)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(OCCO)[*:1],8.24,0.885,1400.0,-0.24,0.59,0.65,0.24,0.8778382538941898,0.21279647074510033
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_17,CCCN1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CCCN1CCC([*:1])CC1,7.2,2.84,77.0,CPD_208,O=C(NC1CN(c2cc[n+]([O-])cc2)C1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,[O-][n+]1ccc(N2CC([*:1])C2)cc1,6.96,1.058,17.0,-0.24,-1.78,-0.66,0.24,1.8984203960134858,0.11170998024657251
